trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.4975, 'e': 0.99}",20,0,-155.0701086943742,"{0: 12, 1: 0, 2: 5, 3: 0, 4: 3}",0
2,False,"{'a': 0.4950125, 'e': 0.9801}",25,15,-81.44170039292067,"{0: 6, 1: 0, 2: 1, 3: 2, 4: 1}",1
3,False,"{'a': 0.4925374375, 'e': 0.9702989999999999}",20,0,-126.82487420717166,"{0: 11, 1: 2, 2: 5, 3: 0, 4: 2}",0
4,False,"{'a': 0.49007475031250003, 'e': 0.96059601}",25,0,-115.91460834574127,"{0: 13, 1: 3, 2: 8, 3: 0, 4: 1}",0
5,False,"{'a': 0.48762437656093754, 'e': 0.9509900498999999}",25,0,-158.48192394855332,"{0: 14, 1: 4, 2: 3, 3: 2, 4: 2}",0
6,False,"{'a': 0.48518625467813287, 'e': 0.9414801494009999}",20,0,-83.92698900896667,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
7,False,"{'a': 0.4827603234047422, 'e': 0.9320653479069899}",25,0,-138.3802898990556,"{0: 14, 1: 3, 2: 6, 3: 0, 4: 2}",0
8,False,"{'a': 0.4803465217877185, 'e': 0.92274469442792}",25,0,-89.10841763658821,"{0: 17, 1: 2, 2: 4, 3: 1, 4: 1}",0
9,False,"{'a': 0.47794478917877986, 'e': 0.9135172474836407}",20,0,-82.09218407540531,"{0: 13, 1: 3, 2: 2, 3: 1, 4: 1}",0
10,False,"{'a': 0.47555506523288593, 'e': 0.9043820750088043}",25,5,-20.219672402871126,"{0: 15, 1: 3, 2: 1, 3: 1, 4: 0}",1
11,False,"{'a': 0.4731772899067215, 'e': 0.8953382542587163}",25,0,-147.71456621453774,"{0: 18, 1: 1, 2: 2, 3: 1, 4: 3}",0
12,False,"{'a': 0.47081140345718786, 'e': 0.8863848717161291}",25,0,-56.4462501405182,"{0: 20, 1: 0, 2: 4, 3: 0, 4: 1}",0
13,False,"{'a': 0.46845734643990194, 'e': 0.8775210229989678}",20,0,-83.2689087729407,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
14,False,"{'a': 0.46611505970770245, 'e': 0.8687458127689781}",25,0,-79.01369422791974,"{0: 18, 1: 2, 2: 3, 3: 1, 4: 1}",0
15,False,"{'a': 0.4637844844091639, 'e': 0.8600583546412883}",25,0,-135.0783691766565,"{0: 13, 1: 0, 2: 10, 3: 1, 4: 1}",0
16,False,"{'a': 0.4614655619871181, 'e': 0.8514577710948754}",25,0,-69.79616682911242,"{0: 14, 1: 5, 2: 6, 3: 0, 4: 0}",0
17,False,"{'a': 0.4591582341771825, 'e': 0.8429431933839266}",35,0,-182.20832878638166,"{0: 20, 1: 2, 2: 11, 3: 0, 4: 2}",0
18,False,"{'a': 0.4568624430062966, 'e': 0.8345137614500874}",30,0,-210.63007719543265,"{0: 19, 1: 0, 2: 6, 3: 1, 4: 4}",0
19,False,"{'a': 0.4545781307912651, 'e': 0.8261686238355865}",20,0,-62.29481002632603,"{0: 12, 1: 3, 2: 4, 3: 1, 4: 0}",0
20,False,"{'a': 0.4523052401373088, 'e': 0.8179069375972307}",25,0,-152.05687789499723,"{0: 14, 1: 1, 2: 6, 3: 3, 4: 1}",0
21,False,"{'a': 0.45004371393662224, 'e': 0.8097278682212583}",20,0,-98.53419280426178,"{0: 14, 1: 0, 2: 4, 3: 0, 4: 2}",0
22,False,"{'a': 0.44779349536693913, 'e': 0.8016305895390458}",20,0,-164.85578460534472,"{0: 8, 1: 1, 2: 7, 3: 3, 4: 1}",0
23,False,"{'a': 0.4455545278901044, 'e': 0.7936142836436553}",25,8,-98.95669170854526,"{0: 10, 1: 2, 2: 3, 3: 0, 4: 2}",1
24,False,"{'a': 0.4433267552506539, 'e': 0.7856781408072188}",20,0,-85.81217055760766,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
25,False,"{'a': 0.44111012147440065, 'e': 0.7778213593991465}",30,0,-124.96375303226566,"{0: 18, 1: 3, 2: 7, 3: 1, 4: 1}",0
26,False,"{'a': 0.43890457086702866, 'e': 0.7700431458051551}",20,0,-39.49620704844146,"{0: 15, 1: 3, 2: 1, 3: 0, 4: 1}",0
27,False,"{'a': 0.43671004801269353, 'e': 0.7623427143471035}",30,0,-205.63306540280544,"{0: 18, 1: 1, 2: 6, 3: 2, 4: 3}",0
28,False,"{'a': 0.4345264977726301, 'e': 0.7547192872036325}",25,12,24.443268093015885,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
29,False,"{'a': 0.4323538652837669, 'e': 0.7471720943315961}",30,0,-222.84180154062494,"{0: 17, 1: 0, 2: 8, 3: 2, 4: 3}",0
30,False,"{'a': 0.4301920959573481, 'e': 0.7397003733882802}",35,21,-44.510557682327374,"{0: 9, 1: 0, 2: 4, 3: 1, 4: 0}",1
31,False,"{'a': 0.42804113547756134, 'e': 0.7323033696543974}",25,10,-88.44649690319687,"{0: 10, 1: 1, 2: 2, 3: 0, 4: 2}",1
32,False,"{'a': 0.4259009298001735, 'e': 0.7249803359578534}",20,10,-11.429992996381682,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 0}",1
33,False,"{'a': 0.42377142515117266, 'e': 0.7177305325982748}",20,0,-71.32782887690757,"{0: 12, 1: 0, 2: 8, 3: 0, 4: 0}",0
34,False,"{'a': 0.4216525680254168, 'e': 0.7105532272722921}",20,0,-74.37296181562972,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
35,False,"{'a': 0.4195443051852897, 'e': 0.7034476949995692}",20,0,-125.71097188413654,"{0: 11, 1: 4, 2: 2, 3: 1, 4: 2}",0
36,False,"{'a': 0.4174465836593632, 'e': 0.6964132180495735}",20,0,-14.879513855050757,"{0: 17, 1: 0, 2: 2, 3: 1, 4: 0}",0
37,False,"{'a': 0.4153593507410664, 'e': 0.6894490858690777}",20,0,-58.448227264291404,"{0: 14, 1: 3, 2: 2, 3: 0, 4: 1}",0
38,False,"{'a': 0.4132825539873611, 'e': 0.682554595010387}",20,0,-27.680527881877456,"{0: 14, 1: 3, 2: 3, 3: 0, 4: 0}",0
39,False,"{'a': 0.4112161412174243, 'e': 0.6757290490602831}",30,18,-24.772815622903366,"{0: 8, 1: 0, 2: 4, 3: 0, 4: 0}",1
40,False,"{'a': 0.40916006051133713, 'e': 0.6689717585696803}",25,0,-73.52622005658296,"{0: 18, 1: 1, 2: 5, 3: 0, 4: 1}",0
41,False,"{'a': 0.40711426020878044, 'e': 0.6622820409839835}",25,0,-31.741430469770116,"{0: 20, 1: 0, 2: 4, 3: 1, 4: 0}",0
42,False,"{'a': 0.4050786889077365, 'e': 0.6556592205741436}",25,0,-101.236223064458,"{0: 19, 1: 0, 2: 3, 3: 1, 4: 2}",0
43,False,"{'a': 0.40305329546319785, 'e': 0.6491026283684022}",20,0,-151.1499605354498,"{0: 13, 1: 1, 2: 2, 3: 1, 4: 3}",0
44,False,"{'a': 0.40103802898588187, 'e': 0.6426116020847181}",30,2,-104.0320873824271,"{0: 23, 1: 0, 2: 2, 3: 0, 4: 3}",1
45,False,"{'a': 0.3990328388409525, 'e': 0.6361854860638709}",25,15,-43.84843424811608,"{0: 7, 1: 1, 2: 1, 3: 0, 4: 1}",1
46,False,"{'a': 0.3970376746467477, 'e': 0.6298236312032323}",25,0,-75.94823618375767,"{0: 19, 1: 3, 2: 0, 3: 2, 4: 1}",0
47,False,"{'a': 0.39505248627351397, 'e': 0.6235253948912}",20,0,-13.436133714510357,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",1
48,False,"{'a': 0.3930772238421464, 'e': 0.617290140942288}",35,0,-105.14983976133544,"{0: 25, 1: 2, 2: 5, 3: 2, 4: 1}",0
49,False,"{'a': 0.3911118377229357, 'e': 0.6111172395328651}",20,0,-38.491462301362155,"{0: 16, 1: 2, 2: 1, 3: 0, 4: 1}",0
50,False,"{'a': 0.389156278534321, 'e': 0.6050060671375365}",30,0,-69.80688418576426,"{0: 25, 1: 1, 2: 2, 3: 0, 4: 2}",0
51,False,"{'a': 0.3872104971416494, 'e': 0.5989560064661611}",35,0,-92.80286396029695,"{0: 24, 1: 2, 2: 8, 3: 0, 4: 1}",0
52,False,"{'a': 0.38527444465594113, 'e': 0.5929664464014994}",20,0,-47.55616239993304,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
53,False,"{'a': 0.38334807243266145, 'e': 0.5870367819374844}",25,0,-46.071058086844445,"{0: 20, 1: 1, 2: 3, 3: 0, 4: 1}",0
54,False,"{'a': 0.3814313320704981, 'e': 0.5811664141181095}",25,15,-29.601046987654904,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 1}",1
55,False,"{'a': 0.3795241754101456, 'e': 0.5753547499769285}",20,0,-51.35000222338629,"{0: 14, 1: 4, 2: 1, 3: 0, 4: 1}",0
56,False,"{'a': 0.37762655453309485, 'e': 0.5696012024771592}",25,5,-61.834521215070346,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",1
57,False,"{'a': 0.3757384217604294, 'e': 0.5639051904523876}",20,0,-66.76351503836987,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
