trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,12,5.747172075256686,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
2,False,"{'a': 0.5, 'e': 1.0}",20,0,-46.51771484369779,"{0: 14, 1: 4, 2: 1, 3: 0, 4: 1}",0
3,False,"{'a': 0.5, 'e': 1.0}",25,0,-49.566037350927274,"{0: 17, 1: 3, 2: 5, 3: 0, 4: 0}",0
4,False,"{'a': 0.5, 'e': 1.0}",25,0,-85.0645110225557,"{0: 17, 1: 3, 2: 3, 3: 1, 4: 1}",0
5,False,"{'a': 0.5, 'e': 1.0}",20,0,-95.4516484765345,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
6,False,"{'a': 0.5, 'e': 1.0}",20,0,-139.1131538026443,"{0: 11, 1: 2, 2: 4, 3: 1, 4: 2}",0
7,False,"{'a': 0.5, 'e': 1.0}",20,0,-224.61162529025873,"{0: 11, 1: 0, 2: 4, 3: 0, 4: 5}",0
8,False,"{'a': 0.5, 'e': 1.0}",20,0,-41.53707727631933,"{0: 14, 1: 0, 2: 6, 3: 0, 4: 0}",0
9,False,"{'a': 0.5, 'e': 1.0}",20,0,-140.12707031206517,"{0: 10, 1: 2, 2: 6, 3: 0, 4: 2}",0
10,False,"{'a': 0.5, 'e': 1.0}",25,0,-99.03121446221293,"{0: 15, 1: 3, 2: 6, 3: 0, 4: 1}",0
11,False,"{'a': 0.5, 'e': 1.0}",20,0,-86.1405835022815,"{0: 16, 1: 1, 2: 0, 3: 1, 4: 2}",0
12,False,"{'a': 0.5, 'e': 1.0}",25,13,-23.73573811634853,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
13,False,"{'a': 0.5, 'e': 1.0}",20,0,-65.56873641464715,"{0: 11, 1: 4, 2: 4, 3: 1, 4: 0}",0
14,False,"{'a': 0.5, 'e': 1.0}",25,0,-77.44354168047323,"{0: 14, 1: 3, 2: 8, 3: 0, 4: 0}",0
15,False,"{'a': 0.5, 'e': 1.0}",25,0,-145.6400177194934,"{0: 14, 1: 3, 2: 6, 3: 0, 4: 2}",0
16,False,"{'a': 0.5, 'e': 1.0}",25,0,-181.0243638830633,"{0: 18, 1: 0, 2: 2, 3: 1, 4: 4}",0
17,False,"{'a': 0.5, 'e': 1.0}",20,0,-210.06109364868195,"{0: 12, 1: 1, 2: 2, 3: 0, 4: 5}",0
18,False,"{'a': 0.5, 'e': 1.0}",25,0,-144.01691794459924,"{0: 13, 1: 5, 2: 4, 3: 1, 4: 2}",0
19,False,"{'a': 0.5, 'e': 1.0}",35,0,-214.98583751976128,"{0: 20, 1: 5, 2: 6, 3: 0, 4: 4}",0
20,False,"{'a': 0.5, 'e': 1.0}",25,0,-221.01003253249866,"{0: 12, 1: 1, 2: 7, 3: 2, 4: 3}",0
1,True,"{'a': 0.5, 'e': 1.0}",25,0,-108.33139076292049,"{0: 12, 1: 7, 2: 5, 3: 0, 4: 1}",0
2,True,"{'a': 0.5, 'e': 1.0}",25,0,-157.1758146747397,"{0: 12, 1: 3, 2: 8, 3: 0, 4: 2}",0
3,True,"{'a': 0.5, 'e': 1.0}",25,0,-86.5060198415607,"{0: 19, 1: 1, 2: 2, 3: 2, 4: 1}",0
4,True,"{'a': 0.5, 'e': 1.0}",20,0,-90.98127122460146,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
5,True,"{'a': 0.5, 'e': 1.0}",25,0,-155.25675539389033,"{0: 13, 1: 1, 2: 8, 3: 2, 4: 1}",0
6,True,"{'a': 0.5, 'e': 1.0}",20,0,-124.45649598889145,"{0: 10, 1: 4, 2: 4, 3: 0, 4: 2}",0
7,True,"{'a': 0.5, 'e': 1.0}",20,0,-179.3103197447337,"{0: 13, 1: 0, 2: 3, 3: 0, 4: 4}",0
8,True,"{'a': 0.5, 'e': 1.0}",25,15,-9.945005799563164,"{0: 7, 1: 2, 2: 1, 3: 0, 4: 0}",1
9,True,"{'a': 0.5, 'e': 1.0}",20,0,-95.9671098501469,"{0: 12, 1: 1, 2: 6, 3: 0, 4: 1}",0
10,True,"{'a': 0.5, 'e': 1.0}",30,0,-99.40005499949717,"{0: 20, 1: 3, 2: 5, 3: 1, 4: 1}",0
